"","subject","react","attitude","attitude2","X","breed","age","sex","condition","side_fakedog","side_chair","blocking.sum","non.off.manipulation.sum","dom.beh.sum","interaction.dog.sum","dog.approach.sum","sniffing.dog.sum","blocking.presence","non.off.manipulation.presence","dom.beh.presence","interaction.dog.presence","sniffing.dog.presence","human","treatment","z.age"
"1","Akina","Offensive",0,"bad",3,"Akita_Inu",133,"female","SM","left","left",0,0,1,0,1,4,0,0,1,0,1,"S","M",1.61033352688522
"2","Ame","Neutral",1,"good",4,"Akita_Inu",42,"male","CP","right","left",0,0,0,0,1,11,0,0,0,0,1,"C","P",-1.00435998439052
"3","Amie","Friendly",1,"good",5,"mixbreed",18,"female","CP","right","right",5,8,0,1,1,14,1,1,0,1,1,"C","P",-1.69394948186983
"4","Amy8","Insecure-Offensive",0,"bad",6,"Border_Collie",114,"female","CM","left","right",1,0,0,0,1,2,1,0,0,0,1,"C","M",1.06440850804743
"5","Anouk3","Insecure",0,"bad",7,"Labrador_Retriever",41,"female","SP","right","left",6,3,0,7,1,14,1,1,0,1,1,"S","P",-1.03309288011882
"6","Apryl","Insecure-Offensive",0,"bad",8,"Border_Collie",127,"female","CM","left","left",3,0,0,0,1,3,1,0,0,0,1,"C","M",1.43793615251539
"7","Arielle","Insecure",0,"bad",9,"Border_Collie",53,"female","SP","right","left",0,0,0,0,1,1,0,0,0,0,1,"S","P",-0.688298131379166
"8","Arkani2","Insecure",0,"bad",10,"Belgian_Tervuren",64,"male","CM","left","left",0,6,2,0,1,17,0,1,1,0,1,"C","M",-0.372236278367814
"9","Bailey2","Insecure",0,"bad",12,"Stafforshire_Bullterrier",65,"female","SP","left","left",8,0,0,4,1,22,1,0,0,1,1,"S","P",-0.343503382639509
"10","Balian","Friendly",1,"good",13,"Border_Collie",115,"male","SP","left","left",0,0,1,1,1,10,0,0,1,1,1,"S","P",1.09314140377573
"11","Baerbel","Insecure-Offensive",0,"bad",11,"mixbreed",60,"female","SM","right","left",0,0,1,0,1,7,0,0,1,0,1,"S","M",-0.487167861281033
"12","Bella5","Friendly",1,"good",16,"Kangal",86,"female","SM","left","left",0,0,0,0,1,7,0,0,0,0,1,"S","M",0.259887427654891
"13","Blacky","Offensive",0,"bad",17,"mixbreed",99,"male","CM","left","right",2,0,3,1,1,7,1,0,1,1,1,"C","M",0.633415072122854
"14","Butzi","Insecure",0,"bad",18,"Welsh_Corgi_Pembroke",112,"male","SP","right","right",0,0,0,0,1,4,0,0,0,0,1,"S","P",1.00694271659082
"15","Cameron","Insecure",0,"bad",19,"Border_Collie",84,"male","CM","right","right",0,0,0,0,1,3,0,0,0,0,1,"C","M",0.202421636198282
"16","Campino","Insecure",0,"bad",20,"Romanian_Mioritic_Shepherd_dog",31,"male","SM","right","right",0,0,0,0,1,7,0,0,0,0,1,"S","M",-1.32042183740187
"17","Carlisle","Friendly",1,"good",21,"Border_Collie",105,"male","CP","left","left",0,2,0,1,1,7,0,1,0,1,1,"C","P",0.805812446492682
"18","Cassy3","Neutral",1,"good",22,"mixbreed",78,"female","SM","left","right",0,0,0,0,0,1,0,0,0,0,1,"S","M",0.0300242618284532
"19","Chasie","Friendly",1,"good",24,"Border_Collie",125,"female","SM","right","left",3,0,0,0,1,19,1,0,0,0,1,"S","M",1.38047036105878
"20","Cindy7","Friendly",1,"good",25,"mixbreed",155,"female","SP","left","right",0,0,0,0,1,3,0,0,0,0,1,"S","P",2.24245723290792
"21","Cliff","Insecure",0,"bad",26,"Border_Collie",65,"male","CM","left","right",6,43,3,1,1,17,1,1,1,1,1,"C","M",-0.343503382639509
"22","Dada","Insecure",0,"bad",27,"mixbreed",41,"female","SM","right","left",0,0,0,0,1,6,0,0,0,0,1,"S","M",-1.03309288011882
"23","Dante","Friendly",1,"good",28,"Galgo",56,"male","CP","left","left",0,2,0,0,1,13,0,1,0,0,1,"C","P",-0.602099444194252
"24","Dottie","Offensive",0,"bad",29,"mixbreed",108,"female","CP","left","left",0,2,1,2,1,6,0,1,1,1,1,"C","P",0.892011133677597
"25","Dusty","Insecure",0,"bad",30,"Border_Collie",27,"female","CM","left","left",0,0,0,0,1,6,0,0,0,0,1,"C","M",-1.43535342031509
"26","Eisbaer","Insecure-Offensive",0,"bad",31,"Malteser",18,"male","SP","right","right",0,0,2,0,1,7,0,0,1,0,1,"S","P",-1.69394948186983
"27","Emil6","Offensive",0,"bad",32,"mixbreed",87,"male","CP","left","left",6,0,0,2,1,12,1,0,0,1,1,"C","P",0.288620323383196
"28","Emil7","Friendly",1,"good",33,"Parson_Russel_Terrier",51,"male","CM","right","left",6,3,0,0,1,16,1,1,0,0,1,"C","M",-0.745763922835776
"29","Emily2","Insecure",0,"bad",34,"Border_Collie",136,"female","CP","right","left",0,0,0,0,1,3,0,0,0,0,1,"C","P",1.69653221407013
"30","Emily7","Insecure",0,"bad",35,"mixbreed",130,"female","SP","right","left",0,0,0,0,1,7,0,0,0,0,1,"S","P",1.5241348397003
"31","Emma7","Offensive",0,"bad",36,"German_Shepherd",76,"female","SM","left","left",0,0,1,0,1,10,0,0,1,0,1,"S","M",-0.0274415296281563
"32","Eowyn","Insecure-Offensive",0,"bad",37,"mixbreed",22,"female","CM","right","right",1,0,0,0,1,17,1,0,0,0,1,"C","M",-1.57901789895661
"33","Fiby","Neutral",1,"good",38,"French_bulldog",58,"female","CM","right","left",0,0,0,0,1,7,0,0,0,0,1,"C","M",-0.544633652737642
"34","Finja","Insecure",0,"bad",39,"mixbreed",27,"female","CM","right","left",0,1,0,3,1,22,0,1,0,1,1,"C","M",-1.43535342031509
"35","Flamme","Friendly",1,"good",41,"Pyrenean_Sheep_dog_smooth_faced",138,"male","SM","left","left",0,0,0,0,1,6,0,0,0,0,1,"S","M",1.75399800552674
"36","Freya","Offensive",0,"bad",42,"mixbreed",71,"female","SP","right","right",0,0,2,1,1,10,0,0,1,1,1,"S","P",-0.17110600826968
"37","Gatsby","Insecure",0,"bad",43,"Border_Collie",110,"male","SM","right","right",1,0,0,0,1,8,1,0,0,0,1,"S","M",0.949476925134206
"38","Gismo4","Insecure",0,"bad",44,"mixbreed",55,"male","CP","right","right",2,0,0,1,1,7,1,0,0,1,1,"C","P",-0.630832339922557
"39","Grisu2","Insecure",0,"bad",45,"Magyar_Viszla",10,"male","CM","right","left",3,2,1,4,1,9,1,1,1,1,1,"C","M",-1.92381264769627
"40","Guinness3","Insecure",0,"bad",46,"mixbreed",88,"male","SM","left","left",0,0,0,0,1,3,0,0,0,0,1,"S","M",0.317353219111501
"41","Hagrid","Friendly",1,"good",47,"mixbreed",115,"male","CP","right","right",2,0,0,1,1,13,1,0,0,1,1,"C","P",1.09314140377573
"42","Hailey","Friendly",1,"good",48,"Golden_retriever",83,"female","SP","left","left",1,0,0,1,1,6,1,0,0,1,1,"S","P",0.173688740469977
"43","Hanya","Friendly",1,"good",49,"German_Shepherd",60,"female","SP","right","right",0,0,0,0,1,4,0,0,0,0,1,"S","P",-0.487167861281033
"44","Jo-jo3","Insecure",0,"bad",52,"Kangal",63,"male","CP","right","left",1,0,0,0,1,14,1,0,0,0,1,"C","P",-0.400969174096118
"45","Jolie","Insecure",0,"bad",53,"mixbreed",113,"female","CM","right","left",0,0,0,0,1,4,0,0,0,0,1,"C","M",1.03567561231912
"46","Kayleigh","Friendly",1,"good",54,"Border_Collie",97,"female","CP","left","right",0,0,0,0,1,6,0,0,0,0,1,"C","P",0.575949280666244
"47","Kiki2","Insecure-Offensive",0,"bad",55,"mixbreed",56,"female","CM","right","right",1,0,1,0,1,21,1,0,1,0,1,"C","M",-0.602099444194252
"48","Laiki","Offensive",0,"bad",56,"mixbreed",105,"male","SP","left","left",1,0,1,0,1,6,1,0,1,0,1,"S","P",0.805812446492682
"49","Leia","Friendly",1,"good",57,"Beagle",94,"female","CP","left","left",0,0,0,0,1,3,0,0,0,0,1,"C","P",0.48975059348133
"50","Lenni","Neutral",1,"good",58,"mixbreed",80,"male","CM","right","right",0,0,0,0,1,7,0,0,0,0,1,"C","M",0.0874900532850628
"51","Levi","Insecure",0,"bad",59,"mixbreed",48,"male","SP","left","left",1,0,0,0,1,6,1,0,0,0,1,"S","P",-0.83196261002069
"52","Linus","Offensive",0,"bad",60,"Australian_Shepherd",64,"male","SP","right","right",2,7,0,4,1,18,1,1,0,1,1,"S","P",-0.372236278367814
"53","Luca2","Insecure",0,"bad",61,"Scotia_Duck_Trolling_Retriever",39,"male","SM","left","right",0,0,0,0,1,2,0,0,0,0,1,"S","M",-1.09055867157543
"54","Lumpi","Insecure",0,"bad",62,"mixbreed",48,"male","CM","left","left",1,0,0,0,1,9,1,0,0,0,1,"C","M",-0.83196261002069
"55","Maedi","Insecure",0,"bad",63,"mixbreed",99,"female","CM","left","left",0,0,0,0,1,5,0,0,0,0,1,"C","M",0.633415072122854
"56","Maeva","Insecure",0,"bad",64,"Border_Collie",101,"female","SP","left","right",0,0,0,0,1,2,0,0,0,0,1,"S","P",0.690880863579463
"57","Marlboro","Offensive",0,"bad",65,"Whippet",35,"male","SM","right","left",1,0,0,0,1,12,1,0,0,0,1,"S","M",-1.20549025448865
"58","Maroni","Offensive",0,"bad",66,"Miniature_Pinscher",82,"male","CP","left","left",1,0,1,0,1,10,1,0,1,0,1,"C","P",0.144955844741672
"59","Maylo","Insecure",0,"bad",67,"mixbreed",46,"male","SP","right","right",0,0,0,0,1,7,0,0,0,0,1,"S","P",-0.8894284014773
"60","Maylo2","Insecure",0,"bad",68,"Golden_retriever",64,"male","CM","right","right",3,0,0,0,1,19,1,0,0,0,1,"C","M",-0.372236278367814
"61","Mia","Friendly",1,"good",69,"Golden_retriever",29,"female","CP","right","left",1,0,0,2,1,18,1,0,0,1,1,"C","P",-1.37788762885848
"62","Milow","Insecure",0,"bad",70,"mixbreed",102,"male","SP","left","right",0,0,0,0,1,14,0,0,0,0,1,"S","P",0.719613759307768
"63","Miss Face","Neutral",1,"good",71,"Alaska_Husky",145,"female","CP","right","right",0,0,0,0,1,5,0,0,0,0,1,"C","P",1.95512827562487
"64","Monty2","Friendly",1,"good",72,"Border_Collie",116,"male","CP","left","right",0,0,0,0,1,5,0,0,0,0,1,"C","P",1.12187429950403
"65","Mulan","Insecure-Offensive",0,"bad",74,"mixbreed",115,"female","SP","left","left",0,0,1,0,1,1,0,0,1,0,1,"S","P",1.09314140377573
"66","Muesli","Insecure",0,"bad",73,"Border_Collie",77,"male","SP","left","right",1,0,0,0,1,15,1,0,0,0,1,"S","P",0.00129136610014846
"67","Nana","Friendly",1,"good",75,"mixbreed",67,"female","CP","right","left",0,0,0,0,1,9,0,0,0,0,1,"C","P",-0.286037591182899
"68","Nanouk2","Insecure",0,"bad",76,"Australian_Shepherd",88,"female","SP","left","right",0,0,0,0,1,0,0,0,0,0,0,"S","P",0.317353219111501
"69","Nils2","Offensive",0,"bad",77,"Golden_retriever",63,"male","CP","left","right",3,0,5,0,1,16,1,0,1,0,1,"C","P",-0.400969174096118
"70","Orlando","Offensive",0,"bad",78,"Long-Haired Collie",109,"male","CP","right","right",5,0,2,1,1,16,1,0,1,1,1,"C","P",0.920744029405901
"71","Pamina2","Insecure",0,"bad",79,"mixbreed",57,"female","CM","left","right",0,0,0,0,1,6,0,0,0,0,1,"C","M",-0.573366548465947
"72","Paul2","Insecure",0,"bad",80,"mixbreed",31,"male","SM","left","left",1,0,0,0,1,9,1,0,0,0,1,"S","M",-1.32042183740187
"73","Pepina","Friendly",1,"good",81,"Boxer",78,"female","CP","right","left",9,0,0,8,1,29,1,0,0,1,1,"C","P",0.0300242618284532
"74","Riu","Offensive",0,"bad",83,"Australian_Shepherd",17,"female","CP","left","right",5,22,1,10,1,19,1,1,1,1,1,"C","P",-1.72268237759814
"75","Ronja","Offensive",0,"bad",84,"mixbreed",101,"female","SM","right","left",1,0,1,0,1,5,1,0,1,0,1,"S","M",0.690880863579463
"76","Runa","Friendly",1,"good",85,"mixbreed",55,"female","CM","left","right",3,0,0,3,1,12,1,0,0,1,1,"C","M",-0.630832339922557
"77","Sammy8","Insecure",0,"bad",87,"Labradoodle",32,"male","SP","left","right",0,0,0,0,1,17,0,0,0,0,1,"S","P",-1.29168894167357
"78","Scampi","Friendly",1,"good",88,"mixbreed",69,"male","CP","right","right",2,0,0,0,1,9,1,0,0,0,1,"C","P",-0.22857179972629
"79","Schoko","Insecure-Offensive",0,"bad",89,"Magyar_Viszla",114,"female","SM","left","right",0,0,0,1,1,1,0,0,0,1,1,"S","M",1.06440850804743
"80","Sepp","Insecure",0,"bad",90,"Beagle",87,"male","SM","right","right",0,0,0,0,1,6,0,0,0,0,1,"S","M",0.288620323383196
"81","Sheila","Neutral",1,"good",91,"mixbreed",81,"female","SM","left","right",1,0,0,0,1,4,1,0,0,0,1,"S","M",0.116222949013368
"82","Snoopy6","Friendly",1,"good",93,"Beagle",90,"male","CM","right","right",1,0,4,0,1,4,1,0,1,0,1,"C","M",0.374819010568111
"83","Sophie","Offensive",0,"bad",94,"Papillon",56,"female","SM","right","left",7,0,1,0,1,20,1,0,1,0,1,"S","M",-0.602099444194252
"84","Spin","Insecure",0,"bad",95,"Shetland_Sheepdog",46,"male","SP","right","left",2,0,0,0,1,9,1,0,0,0,1,"S","P",-0.8894284014773
"85","Suka-Sevilla","Insecure",0,"bad",96,"Galgo",113,"female","SP","right","left",0,0,0,0,1,4,0,0,0,0,1,"S","P",1.03567561231912
"86","Thor","Offensive",0,"bad",98,"Husky",33,"male","CM","left","left",1,1,2,0,1,15,1,1,1,0,1,"C","M",-1.26295604594526
"87","Yuki","Insecure",0,"bad",99,"mixbreed",49,"female","CP","left","right",4,4,0,0,1,18,1,1,0,0,1,"C","P",-0.803229714292385
"88","Zoe4","Neutral",1,"good",101,"German Spitz_Pomeranian",137,"female","CP","right","left",0,0,0,0,1,1,0,0,0,0,1,"C","P",1.72526510979844
"89","Zuri","Friendly",1,"good",102,"Rhodesian_Ridgeback",119,"female","CP","left","right",1,0,0,0,1,6,1,0,0,0,1,"C","P",1.20807298668895
